codigo_participante,grupo,nivel_humano_consensuado,nivel_ia_original,diferenca_humano_menos_ia
P01,expository,3,0,3
P02,socratic,2,0,2
P03,socratic,0,3,-3
P04,expository,3,2,1
P05,socratic,4,4,0
P06,expository,2,1,1
P07,expository,1,0,1
P08,expository,1,1,0
P10,expository,1,0,1
P11,expository,3,0,3
P12,expository,2,0,2
P14,expository,1,0,1
P15,socratic,1,1,0
P16,socratic,2,2,0
P17,expository,1,0,1
P18,expository,0,0,0
P19,expository,0,0,0
P20,socratic,4,3,1
P22,socratic,1,0,1
P23,socratic,4,4,0
P24,expository,0,0,0
P25,socratic,2,0,2
P27,socratic,0,1,-1
P28,socratic,4,4,0
P30,socratic,1,0,1
