id_publico,group_name,age,education,prior_knowledge,prob_familiarity,consent_at,completed,session_completed,prior_knowledge_score,final_rubric_turn,final_rubric_level,final_rubric_label,turn_count,id_eval,q1_understanding,q2_autonomy,q3_engagement,q4_frustration,q5_adaptation,q6_open,created_at,pattern,dominant_category,misconception_resolved,turning_point,human_consensus_rubric
P015,socratic,51,high_school,heard,1,2026-04-15 21:32:38.433012+00,False,False,1,,,,,,,,,,,,,,,,,
P026,socratic,45,high_school,no,1,2026-04-14 14:53:40.650112+00,True,True,0,6.0,4.0,n4,6.0,13.0,5.0,5.0,5.0,3.0,5.0,"I started off wrong, but something that I did was breaking it down into smaller problems, and it was making more and more sense to me.",2026-04-14 14:59:41.460081+00:00,breakthrough,information,True,"Turn 5, where the student finally understood the implication of the host's action on the probability of the remaining doors",4.0
P022,expository,22,high_school,heard,2,2026-04-14 13:59:33.779963+00,True,True,1,2.0,0.0,n0,2.0,10.0,1.0,1.0,1.0,5.0,3.0,"I couldn't understand why the probability increases, I just accepted it, although 50/50 still seems more logical to me, because there are 2 doors.",2026-04-14 14:06:32.340870+00:00,expository_control,expository,False,,1.0
P033,socratic,46,undergraduate_incomplete,yes,3,2026-04-15 13:29:39.740494+00,True,True,2,22.0,3.0,n3,22.0,19.0,5.0,5.0,3.0,4.0,3.0,"Not really a change in my understanding. I felt like I had to keep making a distinction between informed door picking and random door picking. I didn't feel like I received any tutoring though, for what it's worth. But it's a tricky problem to think through.",2026-04-15 14:04:06.077534+00:00,progression,concept,True,"Turn 4, where the student demonstrates a clear understanding of the distinction between the host's informed and random choices, marking a significant shift in their reasoning.",4.0
P032,expository,46,undergraduate_incomplete,yes,3,2026-04-13 01:42:21.690386+00,False,False,2,,,,6.0,,,,,,,,,,,,,4.0
P004,socratic,30,high_school,no,3,2026-04-15 16:16:09.983561+00,False,True,0,3.0,4.0,n4,3.0,21.0,5.0,5.0,5.0,5.0,5.0,i think I could deeply understand while i would switch,2026-04-15 16:37:35.150857+00:00,,,,,4.0
P024,expository,23,high_school,no,1,2026-04-11 20:04:41.676545+00,True,True,0,9.0,0.0,n0,9.0,5.0,1.0,5.0,2.0,5.0,1.0,"Nothing much changed, it just annoyed me!",2026-04-11 20:21:53.513041+00:00,expository_control,expository,False,,1.0
P018,expository,33,undergraduate_complete,no,2,2026-04-14 14:45:37.132322+00,True,True,0,4.0,1.0,n1,4.0,11.0,2.0,2.0,3.0,2.0,4.0,"The agent instructed me to rhe right answer, i think i understood, but i wouldn't say this for sure",2026-04-14 14:51:21.660122+00:00,expository_control,expository,False,,2.0
P007,socratic,36,undergraduate_complete,yes,5,2026-04-11 13:40:16.221086+00,True,True,2,16.0,0.0,n0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,"Cant answer question, as the bullet points are not translated, and I unfortunately dont understand portuguese",2026-04-11 14:03:37.978794+00:00,loop,information,False,,2.0
P035,expository,29,undergraduate_complete,no,3,2026-04-13 00:48:46.221424+00,False,False,0,,,,4.0,,,,,,,,,,,,,0.0
P003,expository,32,high_school,heard,3,2026-04-15 21:30:35.559822+00,True,True,1,2.0,0.0,n0,2.0,22.0,4.0,1.0,2.0,1.0,3.0,"I think I understood with the first explanation, but I did get a bit confused.",2026-04-15 21:32:07.959332+00:00,expository_control,expository,False,,3.0
P028,socratic,35,undergraduate_complete,yes,2,2026-04-13 04:55:37.056319+00,False,False,2,1.0,3.0,n3,1.0,,,,,,,,,,,,,0.0
P010,expository,37,undergraduate_complete,yes,3,2026-04-13 01:33:36.001565+00,False,False,2,,,,3.0,,,,,,,,,,,,,3.0
P021,expository,15,high_school,no,2,2026-04-14 03:42:26.99735+00,False,False,0,,,,,,,,,,,,,,,,,
P009,expository,37,high_school,no,1,2026-04-15 10:49:24.017347+00,True,True,0,3.0,1.0,n1,3.0,17.0,1.0,1.0,4.0,2.0,4.0,"I got confused with the problem, to me it's still 50% for each door, from the moment there are 2 doors left and I can choose either one of them. What happened before doesn't matter.",2026-04-15 10:55:53.521751+00:00,expository_control,expository,False,,1.0
P014,expository,50,high_school,no,2,2026-04-15 16:48:56.137373+00,False,False,0,,,,,,,,,,,,,,,,,
P025,expository,26,high_school,no,1,2026-04-14 20:01:27.397515+00,True,True,0,4.0,0.0,n0,4.0,14.0,5.0,5.0,5.0,5.0,4.0,The strategy of switching doors increases the chances of winning.,2026-04-14 20:05:48.756226+00:00,expository_control,expository,False,,0.0
P030,socratic,20,high_school,no,3,2026-04-12 01:25:48.80683+00,False,False,0,,,,,,,,,,,,,,,,,
P027,socratic,36,undergraduate_incomplete,heard,5,2026-04-13 02:15:56.975358+00,False,False,1,40.0,0.0,n0,40.0,,,,,,,,,,,,,2.0
P016,expository,25,undergraduate_complete,heard,3,2026-04-13 01:36:14.607392+00,False,False,1,,,,,,,,,,,,,,,,,
P036,expository,37,undergraduate_incomplete,heard,3,2026-04-15 16:12:59.692644+00,True,True,1,4.0,0.0,n0,4.0,20.0,1.0,1.0,1.0,5.0,2.0,"Nothing has changed, I started without knowing and I still don't understand",2026-04-15 16:15:36.697804+00:00,expository_control,expository,False,,1.0
P019,socratic,28,undergraduate_incomplete,no,3,2026-04-14 04:16:48.617717+00,False,False,0,3.0,1.0,n1,3.0,,,,,,,,,,,,,1.0
P012,expository,24,undergraduate_incomplete,heard,1,2026-04-16 05:42:39.954545+00,False,False,1,,,,11.0,,,,,,,,,,,,,2.0
P008,expository,29,high_school,heard,2,2026-04-15 10:56:59.380654+00,True,True,1,4.0,0.0,n0,4.0,18.0,1.0,1.0,1.0,1.0,3.0,"Honestly, I didn't understand, I just followed the flow and it finished.",2026-04-15 10:58:55.013163+00:00,expository_control,expository,False,,0.0
P002,expository,40,undergraduate_complete,heard,2,2026-04-15 10:35:41.318101+00,True,True,1,5.0,0.0,n0,5.0,16.0,5.0,1.0,2.0,2.0,4.0,"Very long explanations, I got tired before I even started",2026-04-15 10:38:08.983350+00:00,expository_control,expository,False,,3.0
P034,socratic,50,undergraduate_complete,no,2,2026-04-14 19:59:45.467237+00,True,True,0,26.0,0.0,n0,26.0,15.0,3.0,4.0,2.0,5.0,5.0,He keeps questioning me about my answers all the time.,2026-04-14 20:13:49.100776+00:00,loop,implication,False,,1.0
P031,expository,15,high_school,no,3,2026-04-11 18:16:25.538718+00,True,True,0,8.0,0.0,n0,8.0,,,,,,,,,expository_control,expository,False,,1.0
P006,socratic,26,high_school,no,2,2026-04-15 20:27:25.234196+00,False,False,0,5.0,4.0,n4,5.0,,,,,,,,,,,,,4.0
P011,socratic,26,high_school,no,1,2026-04-14 20:07:30.959264+00,False,False,0,2.0,1.0,n1,2.0,,,,,,,,,,,,,0.0
P005,expository,25,undergraduate_complete,yes,3,2026-04-13 02:17:05.808027+00,True,True,2,2.0,0.0,n0,2.0,8.0,1.0,2.0,1.0,5.0,1.0,"The LLM ignored what I said and didn’t do anything to actually respond to my confusion. My understanding did not change and I remained lost on the logic behind the problem, and annoyed that the LLM ignored my response.",2026-04-13 02:20:10.458013+00:00,expository_control,expository,False,,0.0
P017,expository,35,undergraduate_complete,no,3,2026-04-13 21:43:41.052232+00,True,True,0,12.0,0.0,n0,12.0,9.0,4.0,2.0,3.0,2.0,4.0,,2026-04-13 21:58:34.988148+00:00,expository_control,expository,False,,2.0
P001,expository,43,undergraduate_complete,yes,3,2026-04-13 00:39:47.312425+00,False,False,2,,,,,,,,,,,,,,,,,
P029,expository,39,undergraduate_complete,yes,4,2026-04-11 20:50:51.008465+00,True,True,2,4.0,2.0,n2,4.0,6.0,5.0,5.0,1.0,3.0,2.0,The AIs explanation was incomplete and slightly frustrating. I came away from the discussion feeling that having it try to teach me would have been bad. If I had not understood the problem then my choices would have been disbelief or simple trust. It did not explain it simply stated. ,2026-04-11 20:58:24.071158+00:00,expository_control,expository,False,,3.0
P023,socratic,55,undergraduate_complete,heard,3,2026-04-11 21:03:44.992089+00,False,False,1,24.0,2.0,n2,24.0,,,,,,,,,,,,,2.0
P013,socratic,22,high_school,no,3,2026-04-14 23:33:01.048138+00,False,False,0,8.0,0.0,n0,8.0,,,,,,,,,,,,,1.0
P020,expository,22,undergraduate_incomplete,no,3,2026-04-16 01:03:19.137515+00,False,False,0,,,,4.0,,,,,,,,,,,,,0.0
