id,group_name,age,education,prior_knowledge,prob_familiarity,consent_at,completed
P001,expository,43,undergraduate_complete,yes,3,2026-04-13 00:39:47.312425+00,False
P002,expository,40,undergraduate_complete,heard,2,2026-04-15 10:35:41.318101+00,True
P003,expository,32,high_school,heard,3,2026-04-15 21:30:35.559822+00,True
P004,socratic,30,high_school,no,3,2026-04-15 16:16:09.983561+00,False
P005,expository,25,undergraduate_complete,yes,3,2026-04-13 02:17:05.808027+00,True
P006,socratic,26,high_school,no,2,2026-04-15 20:27:25.234196+00,False
P007,socratic,36,undergraduate_complete,yes,5,2026-04-11 13:40:16.221086+00,True
P008,expository,29,high_school,heard,2,2026-04-15 10:56:59.380654+00,True
P009,expository,37,high_school,no,1,2026-04-15 10:49:24.017347+00,True
P010,expository,37,undergraduate_complete,yes,3,2026-04-13 01:33:36.001565+00,False
P011,socratic,26,high_school,no,1,2026-04-14 20:07:30.959264+00,False
P012,expository,24,undergraduate_incomplete,heard,1,2026-04-16 05:42:39.954545+00,False
P013,socratic,22,high_school,no,3,2026-04-14 23:33:01.048138+00,False
P014,expository,50,high_school,no,2,2026-04-15 16:48:56.137373+00,False
P015,socratic,51,high_school,heard,1,2026-04-15 21:32:38.433012+00,False
P016,expository,25,undergraduate_complete,heard,3,2026-04-13 01:36:14.607392+00,False
P017,expository,35,undergraduate_complete,no,3,2026-04-13 21:43:41.052232+00,True
P018,expository,33,undergraduate_complete,no,2,2026-04-14 14:45:37.132322+00,True
P019,socratic,28,undergraduate_incomplete,no,3,2026-04-14 04:16:48.617717+00,False
P020,expository,22,undergraduate_incomplete,no,3,2026-04-16 01:03:19.137515+00,False
P021,expository,25,high_school,no,2,2026-04-14 03:42:26.99735+00,False
P022,expository,22,high_school,heard,2,2026-04-14 13:59:33.779963+00,True
P023,socratic,55,undergraduate_complete,heard,3,2026-04-11 21:03:44.992089+00,False
P024,expository,23,high_school,no,1,2026-04-11 20:04:41.676545+00,True
P025,expository,26,high_school,no,1,2026-04-14 20:01:27.397515+00,True
P026,socratic,45,high_school,no,1,2026-04-14 14:53:40.650112+00,True
P027,socratic,36,undergraduate_incomplete,heard,5,2026-04-13 02:15:56.975358+00,False
P028,socratic,35,undergraduate_complete,yes,2,2026-04-13 04:55:37.056319+00,False
P029,expository,39,undergraduate_complete,yes,4,2026-04-11 20:50:51.008465+00,True
P030,socratic,20,high_school,no,3,2026-04-12 01:25:48.80683+00,False
P031,expository,35,high_school,no,3,2026-04-11 18:16:25.538718+00,True
P032,expository,46,undergraduate_incomplete,yes,3,2026-04-13 01:42:21.690386+00,False
P033,socratic,46,undergraduate_incomplete,yes,3,2026-04-15 13:29:39.740494+00,True
P034,socratic,50,undergraduate_complete,no,2,2026-04-14 19:59:45.467237+00,True
P035,expository,29,undergraduate_complete,no,3,2026-04-13 00:48:46.221424+00,False
P036,expository,37,undergraduate_incomplete,heard,3,2026-04-15 16:12:59.692644+00,True
